speaker,gender,vowel,f0,f1,f2,f3,sr,log_f1_sr,log_f2_f1,log_f3_f2,quality
david_madore,m,1,158.856851911147,256.035129984943,2029.07460109799,3221.91387914083,164.895259982933,0.191091386178157,0.898998456691605,0.200815913039972,ok
david_madore,m,2,133.031633894167,424.821160912899,2095.77518670066,2818.69260313685,155.42629558203,0.436681645213971,0.693138552741784,0.128703021654657,ok
david_madore,m,3,122.943483917044,607.315921008519,2030.74642071871,2472.33037408324,151.39377785161,0.603306640042726,0.524241029983485,0.085450808021042,ok
david_madore,m,4,126.642194863713,910.33667305977,1580.31630338626,2499.38604423389,152.897011697791,0.774803041298769,0.239541981834256,0.199089319991909,ok
david_madore,m,5,126.288930483551,463.127397370303,802.691325498084,2430.12401859009,152.754712183061,0.481705857192862,0.238848096234329,0.481079868203492,ok
david_madore,m,6,124.1779538365,477.0299827286,1029.6357799606,2729.0667030587,151.898803964493,0.496991322289144,0.334137949365796,0.423330524758428,ok
david_madore,m,7,130.240568112,362.590887618613,824.10479184509,2500.1,154.331631912173,0.370961937043067,0.356565553888581,0.481974940704798,ok
david_madore,m,8,155.6813745158,281.912051783161,839.798370987345,1914.4589103351,163.789129067121,0.235828568826162,0.474061385449169,0.357871021731555,ok
david_madore,m,9,141.837992882485,281.345507979187,1650.91358684438,1996.71082357542,158.782894109793,0.248436272014603,0.768484356233755,0.082590830378725,ok
david_madore,m,10,132.716635768245,375.203368932863,1722.3212716877,2287.69188038895,155.303523567282,0.383085420005607,0.661847436180819,0.123283365345558,ok
david_madore,m,11,131.175431976317,559.569229625547,1531.70909064138,2155.00693399144,154.700014890738,0.558363469382119,0.437322465003219,0.148272382005241,ok
david_madore,m,12,120.001932657669,694.737767614085,1280.99058411099,2145.3654149713,150.176600109672,0.66521864081937,0.26572502867828,0.223955337678128,ok
david_madore,m,13,125.0589482587,523.73865816558,756.773223702304,2729.40265122189,152.257178820008,0.536536852731953,0.159851126171417,0.55710185169482,ok
david_madore,m,14,128.8519546034,633.220867894948,1312.66020554686,2518.97477781969,153.781180859683,0.614652027215667,0.316597100751766,0.283071499561385,ok
david_madore,m,15,131.66182663576,460.158291670096,1617.70069910825,2190.41794680898,154.890986753456,0.472881105552854,0.545990921120023,0.131628815942055,ok
david_madore,m,16,156.45504414084,323.771444108179,1565.11871259936,2478.3851755434,164.060001416957,0.295235831372645,0.684308741570492,0.199621518782203,ok
david_madore,m,17,151.960550693134,261.045031674955,1765.37112161349,2034.46025207607,162.473726185447,0.205932291211006,0.830120586070823,0.061613191306377,ok
david_madore,m,18,153.311255808315,253.701593750838,1392.86480314124,1789.853312503,162.953690834603,0.192258993958468,0.7395857686994,0.10890847565413,ok
wikipedia,m,1,140.789486878019,257.781823303145,2470.35485209793,3260.12582461178,158.390670226603,0.211522694631458,0.981507050465667,0.120475020378814,ok
wikipedia,m,2,119.742952448134,360.123201042198,2482.42750268361,2882.28107863908,150.068488574322,0.38016159328882,0.838425472307257,0.064859756599886,ok
wikipedia,m,3,155.235149263216,573.947181703192,1900.0562301414,2688.79304466957,163.632491220402,0.54500238532924,0.519894525949668,0.150790922410407,ok
wikipedia,m,4,122.817085204612,878.428396053995,1330.64238159385,2585.90725331965,151.341877201393,0.763747249795717,0.18035498549118,0.288551592512176,ok
wikipedia,m,5,109.175930910364,768.919107922942,1237.2033040121,2555.6253377077,145.517476815887,0.722965497695963,0.206560417721618,0.315056114149937,ok
wikipedia,m,6,139.884781021,454.079141852888,616.408981185267,2751.7662469061,158.050670864636,0.458335209427882,0.132737404816725,0.649742581467253,ok
wikipedia,m,7,124.4952472602,362.929028302313,657.077475003905,2805.5499638558,152.028068723867,0.377897927430793,0.257794873634876,0.630401427850843,ok
wikipedia,m,8,140.7820861156,271.457703965829,696.612308225243,1956.49685677819,158.387894848304,0.233980184850307,0.40928897216563,0.448488010915314,ok
wikipedia,m,9,135.081810777199,281.345507979187,1650.91358684438,1996.71082357542,156.220663879556,0.255501506446331,0.768484356233755,0.082590830378725,ok
wikipedia,m,10,132.221995963505,408.623667559364,1639.71761594863,2101.01443714041,155.110342714065,0.420682760029533,0.60344554499849,0.107659974233651,ok
wikipedia,m,11,146.327406032897,469.627264103742,1580.46972432122,2431.62561860512,160.440773013425,0.466438556066639,0.527032879016447,0.187110529429113,ok
wikipedia,m,12,115.27641159241,564.807045678998,1200.08456236277,2253.13572110232,148.178890101027,0.581113768200711,0.327311743429906,0.273575503800183,ok
wikipedia,m,13,156.787457446799,534.706827972421,683.444319163638,2501.33363474302,164.17610963627,0.512805769599962,0.106587408088369,0.563468485008877,ok
wikipedia,m,14,149.882489196962,643.351922694034,1306.87232709374,2605.28678323919,161.729714607817,0.599658783028222,0.307784558702744,0.299622374368279,ok
wikipedia,m,15,124.772728713148,378.531339143835,1330.67057154901,2634.57076559107,152.140934255495,0.395855762367961,0.545968711166622,0.29663931603911,ok
wikipedia,m,16,128.390433031577,326.373625034305,1120.63250511543,2783.2788632949,153.597356876289,0.327331312851242,0.535748160265048,0.395093506026784,ok
wikipedia,m,17,144.649485731822,282.980592058807,1715.29792941186,2699.06596642023,159.825161689985,0.248111498424587,0.782582912472967,0.196873935678715,ok
wikipedia,m,18,151.099246718613,276.952042394854,1211.30700980093,2412.43763411817,162.16618037724,0.232444284654772,0.640849658261292,0.299201864382769,ok
wikipedia,m,19,117.319023217362,377.032723639735,2092.97638054442,2607.60208419707,149.048977357086,0.403050044744315,0.744385281931412,0.095476992181936,ok
wikipedia,m,20,128.890587248113,371.064032467401,1590.50382664899,2153.99024008043,153.796548315293,0.382502271255905,0.632085858450594,0.131709012810878,ok
wikipedia,m,21,143.440248008715,422.30928702586,1004.51079271457,2704.80368733151,159.378547162281,0.423200768488419,0.376323975154763,0.430181142533734,ok
