speaker,gender,vowel,f0,f1,f2,f3,quality
david_madore,m,1,158.856851911147,256.035129984943,2029.07460109799,3221.91387914083,ok
david_madore,m,2,133.031633894167,424.821160912899,2095.77518670066,2818.69260313685,ok
david_madore,m,3,122.943483917044,607.315921008519,2030.74642071871,2472.33037408324,ok
david_madore,m,4,126.642194863713,910.33667305977,1580.31630338626,2499.38604423389,ok
david_madore,m,5,126.288930483551,463.127397370303,802.691325498084,2430.12401859009,ok
david_madore,m,6,124.1779538365,477.0299827286,1029.6357799606,2729.0667030587,ok
david_madore,m,7,130.240568112,362.590887618613,824.10479184509,2500.1,ok
david_madore,m,8,155.6813745158,250,550,2000,ok
david_madore,m,9,141.837992882485,281.345507979187,1650.91358684438,1996.71082357542,ok
david_madore,m,10,132.716635768245,375.203368932863,1722.3212716877,2287.69188038895,ok
david_madore,m,11,131.175431976317,559.569229625547,1531.70909064138,2155.00693399144,ok
david_madore,m,12,120.001932657669,694.737767614085,1280.99058411099,2145.3654149713,ok
david_madore,m,13,125.0589482587,523.73865816558,756.773223702304,2729.40265122189,ok
david_madore,m,14,128.8519546034,633.220867894948,1312.66020554686,2518.97477781969,ok
david_madore,m,15,131.66182663576,460.158291670096,1617.70069910825,2190.41794680898,ok
david_madore,m,16,156.45504414084,323.771444108179,1565.11871259936,2478.3851755434,ok
david_madore,m,17,151.960550693134,261.045031674955,1765.37112161349,2034.46025207607,ok
david_madore,m,18,153.311255808315,253.701593750838,1392.86480314124,1789.853312503,ok
wikipedia,m,1,140.789486878019,257.781823303145,2470.35485209793,3260.12582461178,ok
wikipedia,m,2,119.742952448134,360.123201042198,2482.42750268361,2882.28107863908,ok
wikipedia,m,3,155.235149263216,573.947181703192,1900.0562301414,2688.79304466957,ok
wikipedia,m,4,122.817085204612,878.428396053995,1330.64238159385,2585.90725331965,ok
wikipedia,m,5,109.175930910364,768.919107922942,1237.2033040121,2555.6253377077,ok
wikipedia,m,6,139.884781021,454.079141852888,616.408981185267,2751.7662469061,ok
wikipedia,m,7,124.4952472602,362.929028302313,657.077475003905,2805.5499638558,ok
wikipedia,m,8,140.7820861156,230,600,2300,ok
wikipedia,m,9,135.081810777199,281.345507979187,1650.91358684438,1996.71082357542,ok
wikipedia,m,10,132.221995963505,408.623667559364,1639.71761594863,2101.01443714041,ok
wikipedia,m,11,146.327406032897,469.627264103742,1580.46972432122,2431.62561860512,ok
wikipedia,m,12,115.27641159241,564.807045678998,1200.08456236277,2253.13572110232,ok
wikipedia,m,13,156.787457446799,534.706827972421,683.444319163638,2501.33363474302,ok
wikipedia,m,14,149.882489196962,643.351922694034,1306.87232709374,2605.28678323919,ok
wikipedia,m,15,124.772728713148,378.531339143835,1330.67057154901,2634.57076559107,ok
wikipedia,m,16,128.390433031577,326.373625034305,1120.63250511543,2783.2788632949,ok
wikipedia,m,17,144.649485731822,282.980592058807,1715.29792941186,2699.06596642023,ok
wikipedia,m,18,151.099246718613,276.952042394854,1211.30700980093,2412.43763411817,ok
wikipedia,m,19,117.319023217362,377.032723639735,2092.97638054442,2607.60208419707,ok
wikipedia,m,20,128.890587248113,371.064032467401,1590.50382664899,2153.99024008043,ok
wikipedia,m,21,143.440248008715,422.30928702586,1004.51079271457,2704.80368733151,ok
wikipedia,m,22,119.320546723702,327.568292976273,1512.65611907414,2654.53948775108,ok
wikipedia,m,23,140.751663654038,397.758195168973,845.727976264459,2450.84542035396,ok
wikipedia,m,24,117.488666665951,538.369736481046,1198.14161804959,2574.03757348885,ok
wikipedia,m,25,132.330877928841,627.974963640225,1474.68562538137,2599.26616375663,ok
wikipedia,m,26,127.885045751806,411.340719531678,1236.9656065629,2375.28199736146,ok
wikipedia,m,27,125.251456995057,699.853048991232,1825.72029662941,2538.69299466228,ok
wikipedia,m,28,156.427034799342,677.747905365393,1244.68996926093,2597.06838784105,ok
dan_lenard,m,1,149.245524757482,309.5878554691,2416.89193454757,2889.65641275577,ok
dan_lenard,m,2,130.706070044971,579.177118899467,2110.45435054276,2627.85463905037,ok
dan_lenard,m,3,113.968511471298,586.299313279965,1669.15040978835,2336.04155842941,ok
dan_lenard,m,4,126.710660458779,793.13813539641,1377.74915575799,2379.17444216635,ok
dan_lenard,m,5,119.92683547471,697.478541734268,1099.61774763898,2561.68423450364,ok
dan_lenard,m,6,140.0316893724,524.3917893555,680.7742740713,2692.966870824,ok
dan_lenard,m,8,142.9666758724,323.9600013898,753.4732585646,2205.5938353098,ok
dan_lenard,m,9,129.429441799243,292.016133455059,1593.6278540654,2440.4431720992,ok
dan_lenard,m,10,141.456871790139,469.685699436243,1506.10846115212,2297.86338903675,ok
dan_lenard,m,11,112.752835187089,441.814217980172,1558.25977025716,2164.96583669941,ok
dan_lenard,m,13,121.7777029264,545.658852540383,680.250386685218,2789.88917141428,ok
dan_lenard,m,14,143.226202659595,793.512541977961,1260.90226882069,2259.16600225013,ok
dan_lenard,m,15,135.410588578374,445.559179649379,1357.95230831053,2378.58226264228,ok
dan_lenard,m,16,132.38312078719,345.376343621241,1062.49935895413,2826.75424233321,ok
dan_lenard,m,17,144.944238528408,257.283600100614,1772.07789021059,2471.29659593031,ok
dan_lenard,m,18,134.636037029123,284.209060983886,1225.76899703502,1971.8030051869,ok
dan_lenard,m,19,114.411926924965,414.281768991748,1794.79568473625,2391.23027648177,ok
dan_lenard,m,20,135.954407219004,399.083163024577,1355.60285419905,2299.42955584505,ok
dan_lenard,m,21,125.789214802262,457.990958948849,1129.78642504766,2339.92270662121,ok
dan_lenard,m,22,128.86063296301,382.929883117248,1545.79806899363,2706.97311106647,ok
dan_lenard,m,23,139.126725669366,435.571626352689,951.472847129993,2428.4473156924,ok
dan_lenard,m,24,125.432907201822,521.251420305596,1226.03730934395,2377.43985870127,ok
dan_lenard,m,25,113.172455664667,686.805514228066,1452.81121037407,2476.08375498309,ok
dan_lenard,m,26,120.209977583311,485.750242226716,1242.73653749027,2235.92274622,ok
dan_lenard,m,27,138.020642298453,648.949669651244,1823.13809304868,2379.99304164258,ok
dan_lenard,m,28,118.649812895195,777.468723698655,1299.09692522941,2365.72674936322,ok
macquarie_university,m,1,109.857379491262,314.737243052076,2374.8958228358,3369.89029212772,ok
macquarie_university,m,2,107.416196009853,323.368010349512,2298.08079176204,2973.11288743289,ok
macquarie_university,m,3,105.960191425236,629.288053695324,2105.9062176011,2908.55230247129,ok
macquarie_university,m,4,105.133276260893,719.539236391899,1631.81617262548,2673.26768248349,ok
macquarie_university,m,5,105.908660660992,383.892891215182,869.719066633702,2802.73383022104,ok
macquarie_university,m,6,107.7251631537,359.0633790449,727.057652246,2709.3242671529,ok
macquarie_university,m,7,107.3399186017,317.163799265,581.0115983507,2679.5585281666,ok
macquarie_university,m,8,111.9194245819,275.3415420688,495.4991745486,2300,ok
macquarie_university,m,9,117.06453960715,264.546769187215,2139.30742598015,2406.48811775817,ok
macquarie_university,m,10,111.579993406452,332.40945161741,1995.15434687976,2365.13926575021,ok
macquarie_university,m,16,119.115564298137,267.173950077182,1282.20861618614,2142.0955611981,ok
uni_sheffield_female,f,1,264.028973037788,272.406372455993,2722.73898463318,3995.97947002687,ok
uni_sheffield_female,f,2,262.130846419421,503.775284136748,2378.20999701459,2901.39723781826,ok
uni_sheffield_female,f,3,255.626757513705,647.647747811536,2179.83505781056,2775.51738710408,ok
uni_sheffield_female,f,4,250.171306143018,942.430888168954,1790.83013592901,3048.18647665694,ok
uni_sheffield_female,f,7,263.0174731462,352.6914862312,562.8851581896,2747.0667407114,ok
uni_sheffield_female,f,8,267.2523225127,272.3126443203,689.4409241664,2391.6845199609,ok
uni_sheffield_female,f,9,270.11265770237,283.05427095774,2449.34666356324,2775.99218202937,ok
uni_sheffield_female,f,10,264.872730976042,517.394251244629,1738.92536870642,2601.64056883876,ok
uni_sheffield_female,f,11,263.136409250794,642.855836856925,1689.63851227269,2576.48341645498,ok
uni_sheffield_female,f,12,263.719270724658,672.656564836904,1570.88128383387,2624.25944346515,ok
uni_sheffield_female,f,13,257.158326058113,471.154622729787,814.408473418815,2883.76199319737,ok
uni_sheffield_female,f,14,261.304469392044,742.899493698304,1051.32707376452,2842.79965846224,ok
uni_sheffield_female,f,15,261.377049984084,587.869498170358,1581.54343383706,2886.21173932955,ok
uni_sheffield_female,f,24,220.08716404413,601.740594409165,1619.22475244252,2709.2427719709,ok
uni_sheffield_female,f,27,232.313499690603,971.172875600153,1731.57919050843,2568.40222334779,ok
uni_sheffield_male,m,1,133.843119454501,271.527267969761,2298.88651652015,3182.03906469408,ok
uni_sheffield_male,m,2,130.040501686436,360.345769714992,2215.84501907476,2916.41094039262,ok
uni_sheffield_male,m,3,130.579715375253,594.105217969845,1699.01064776931,2522.4698023442,ok
uni_sheffield_male,m,4,129.645830966741,579.113243939283,1195.075637535,2453.93402575141,ok
uni_sheffield_male,m,5,113.699239262681,541.24324871255,729.538037710525,2774.89450578446,ok
uni_sheffield_male,m,6,116.1979859252,387.5235719626,589.6453756024,2676.3610480163,ok
uni_sheffield_male,m,7,120.5380353738,350.1305732996,531.302169015,2423.5728083648,ok
uni_sheffield_male,m,8,123.8614204218,270,550,2150,ok
uni_sheffield_male,m,9,133.137947718256,230.026694259332,1864.04735562309,2849.58269683705,ok
uni_sheffield_male,m,10,127.757919563796,349.911748882682,1614.78877841913,2282.6303514229,ok
uni_sheffield_male,m,11,127.111912165513,434.765736089758,1248.06230552589,1986.44838390563,ok
uni_sheffield_male,m,12,123.756965368639,490.90624780099,1091.95636773477,2264.74105718897,ok
uni_sheffield_male,m,13,123.366782332339,587.745558740907,896.202326026855,2809.57419010744,ok
uni_sheffield_male,m,14,116.849906633401,597.998856766882,1030.46092882831,2065.97803507822,ok
uni_sheffield_male,m,15,123.640842056304,420.268295663633,1451.91159156025,1938.29959590002,ok
uni_sheffield_male,m,16,124.569804510001,322.422456693515,1790.10829513531,3257.6353270857,ok
uni_sheffield_male,m,24,131.499925948016,499.354771501627,1280.49846821239,2476.8335180444,ok
uni_sheffield_male,m,27,132.634160564618,746.470380945711,1518.00442343465,2132.17284445492,ok
daniel_jones,m,1,178.0775548873,264.031615335862,2393.6759444449,3416.18361444722,ok
daniel_jones,m,2,175.768031095046,356.476958180297,2146.85345140328,2558.93037815093,ok
daniel_jones,m,3,174.812266386479,524.996540765234,1978.78543015862,2279.07708484116,ok
daniel_jones,m,4,175.48192156553,879.010792873503,1678.23081203289,2437.66534043836,ok
daniel_jones,m,5,176.381651505123,599.718481120497,906.703127083604,2394.20214993697,ok
daniel_jones,m,6,173.5817953088,526.3988890983,896.9101873059,2183.5293864478,ok
daniel_jones,m,7,174.7846109231,391.0156507839,721.9514725279,2367.6050920163,ok
daniel_jones,m,8,178.5967381186,300,500,2320,ok
daniel_jones,m,9,175.750844452783,258.243322648583,2228.07341663367,2828.3589382544,ok
daniel_jones,m,10,176.438563254557,353.672565212337,1784.64880612137,2250.6143626553,ok
daniel_jones,m,11,169.801014937705,524.653685383072,1468.28668743445,2055.10893924044,ok
daniel_jones,m,12,174.208672621981,671.429944117498,1209.17890932086,1877.49087298938,ok
daniel_jones,m,13,175.554869562322,678.064722873944,885.319159891072,2674.8385977958,ok
daniel_jones,m,14,173.903594561806,529.337305286782,1034.70090364025,2591.88309876035,ok
daniel_jones,m,15,171.456207374281,472.388287920044,1091.3036472477,2305.52309296689,ok
daniel_jones,m,16,177.18754955195,305.046950939712,1198.5105271834,2524.62969432764,ok
daniel_jones,m,17,173.897261386156,287.670370364254,2033.62855342719,2563.70692166736,ok
daniel_jones,m,18,179.443665326782,260.594953480512,1639.00871336997,2090.3127132617,ok
uni_victoria,m,1,135.0512196756,255.063873104071,2521.98508987138,3429.96271784044,ok
